frequency,1072.4718468476444,Max_Oxygen_LifeTime
0.2,1.4298791258209331,0.45973694591830416
0.2,0.0,0.971616363897645
0.2,0.0,0.9117780783164717
0.2,0.0,0.9391676774955388
0.2,0.0,0.8415457954533347
0.2,0.0,0.8653322467273351
0.2,0.0,0.7316352996703497
0.2,0.0,0.6677301296999959
0.2,39.71598801142179,0.7000370427067865
0.2,0.0,0.6751327152436368
0.2,38.068372119525314,0.5234310677705861
0.2,0.0,0.6944522570889506
0.2,0.0,0.6630253734709786
0.2,0.0,0.79822163316433
0.2,39.45421881895373,0.7036243975064377
0.2,0.0,0.7339582087744879
0.2,0.0,0.7500676178642665
0.2,0.0,0.6612667032813783
0.2,166.48072063055935,0.5525249130712094
0.2,0.0,0.5601010204217014
0.225,0.0,0.8247662403650454
0.225,40.97541948409194,0.7810588398643363
0.225,0.0,0.8336496532846075
0.225,0.0,0.8326921862102807
0.225,10.145180965842446,0.6972630871582721
0.225,79.77153635422161,0.8245197440059927
0.225,0.0,0.8684417707442
0.225,0.0,0.7852449718092277
0.225,0.0,0.7001181046785798
0.225,99.63450753597304,0.8729390368811302
0.225,60.72639170434056,0.9409197834843136
0.225,5.243200557702741,0.8786739544765398
0.225,0.0,0.7488796733202973
0.25,0.0,0.8907084191471129
0.25,0.0,0.9102083319707164
0.25,0.0,0.9443221441693939
0.25,0.0,0.843301338754155
0.25,0.0,0.8709211639441403
0.25,0.0,0.8162583665516217
0.25,8.515527157956699,0.8839646218926953
0.25,66.82899321605565,0.8620823431292292
0.25,0.0,0.920458161603352
0.25,0.0,0.8298172285604452
0.25,0.0,0.8914172453042928
0.25,35.72622682764859,0.8738477512417712
0.25,0.0,0.9391192474088602
0.25,0.0,0.9311141893419929
0.25,0.0,0.8825515117549522
0.25,0.0,0.9153880401320287
0.25,0.0,0.8366406301068983
0.25,0.0,0.7023520808996986
0.25,0.0,0.755610973873429
0.275,13.349277064475748,0.7349682530279553
0.275,0.0,0.7725901930008846
0.275,13.214538535514864,0.7802447031227839
0.275,16.42987965518071,0.7744336608163489
0.275,36.54024862239546,0.8173128926325012
0.275,0.0,0.7840962965634557
0.275,0.0,0.80167380927598
0.275,0.0,0.7916037598162216
0.275,67.42918149986208,0.766825166377979
0.275,0.0,0.8298172285604452
0.275,19.45463872244102,0.8419934897076728
0.275,0.0,0.7573560230931569
0.275,0.0,0.8159663184531726
0.275,97.8536906663264,0.8465959102028908
0.275,0.0,0.8661823154686811
0.275,187.7504157317976,0.8753687785904483
0.275,0.0,0.8164756490907241
0.275,0.0,0.8361569321063043
0.275,0.0,0.7819711433974208
