frequency,1070.3509066303568,1070.528963188294,Max_Oxygen_LifeTime
0.2,43.9687831189937,25.916559155504416,0.45973694591830416
0.2,37.287548164115776,16.62823093805163,0.971616363897645
0.2,73.21680659804939,8.541960769772428,0.9117780783164717
0.2,33.293014510093805,4.645536908385182,0.9391676774955388
0.2,57.6677127438324,0.7538263103768941,0.8415457954533347
0.2,44.26910219123062,34.84142302087596,0.8653322467273351
0.2,57.02058224294649,6.3356202492162765,0.7316352996703497
0.2,84.24332795374838,33.398242443202015,0.6677301296999959
0.2,44.12887556824644,63.986869573957335,0.7000370427067865
0.2,41.8035581611833,0.0,0.6751327152436368
0.2,104.35984770697456,49.22634325800688,0.5234310677705861
0.2,130.68503959393266,25.841674495975383,0.6944522570889506
0.2,108.09902984948828,5.56392065401778,0.6630253734709786
0.2,0.0,0.0,0.79822163316433
0.2,37.575446494241646,21.605881734188948,0.7036243975064377
0.2,91.56664171899318,0.0,0.7339582087744879
0.2,161.09455157811078,0.0,0.7500676178642665
0.2,215.70565898666743,0.0,0.6612667032813783
0.2,297.8324818620099,7.636730304154098,0.5525249130712094
0.2,276.1240503952653,0.0,0.5601010204217014
0.225,34.75559065445415,0.0,0.8247662403650454
0.225,50.23942736745187,0.0,0.7810588398643363
0.225,14.399179644911126,0.0,0.8336496532846075
0.225,33.293014510093805,4.645536908385182,0.8326921862102807
0.225,56.01904272443438,0.0,0.6972630871582721
0.225,69.85909692559052,9.440418503458178,0.8245197440059927
0.225,118.26955066423776,41.24526346694007,0.8684417707442
0.225,98.18067426671986,0.0,0.7852449718092277
0.225,68.60878506595083,0.0,0.7001181046785798
0.225,66.42300502398201,0.0,0.8729390368811302
0.225,0.0,17.05797519784847,0.9409197834843136
0.225,176.021733008592,92.87955273644856,0.8786739544765398
0.225,139.20315460581222,0.0,0.7488796733202973
0.25,0.0,7.791535105561513,0.8907084191471129
0.25,44.47977973995738,23.07388574010289,0.9102083319707164
0.25,82.20888247293499,0.0,0.9443221441693939
0.25,70.76133606292207,0.0,0.843301338754155
0.25,59.85370108228063,17.281702425165534,0.8709211639441403
0.25,23.065899120133206,27.94522393400754,0.8162583665516217
0.25,67.65113242154489,27.91200568441362,0.8839646218926953
0.25,8.353624152006956,0.0,0.8620823431292292
0.25,5.594979897228216,10.070963815010789,0.920458161603352
0.25,179.27458251447274,0.0,0.8298172285604452
0.25,64.36343396598154,0.0,0.8914172453042928
0.25,126.41587954398732,0.0,0.8738477512417712
0.25,95.67907530079351,86.77869620304529,0.9391192474088602
0.25,108.97848488327976,0.0,0.9311141893419929
0.25,210.82289650962605,65.936379155274,0.8825515117549522
0.25,151.28819143926043,48.59560088655032,0.9153880401320287
0.25,28.88009384271027,0.0,0.8366406301068983
0.25,178.32380506741924,0.0,0.7023520808996986
